Email Addresses,company names,address
,LeadsNDeals Interactive Technologies,"Co-Op Office:19/39, infopark TBC,Jawaharlal Nehru stadium,Kochi, Kerala - 682018www.leadsndeals.com"
,LINXAS IT CONSULTING PRIVATE LIMITED,"Floor 13, Infopark Kochi Phase 2, Trans Asia Cyber Park, Ambalamedu, Puthencruz, Ernakulam, Kerala, 682303www.linxas.com"
,Litmus7 Systems Consulting Pvt.Ltd,"#3, 2nd Floor, Cafeteria Block, AthulyaInfopark, Kusumagiri P.OKakkanad, Kochi - 682030www.litmus7.com"
,Loyal IT Solutions Pvt Ltd,"Devadaram,Infopark Thrissur,Koratty -   Nalukettu RdKerala 680308www.loyalitsolutions.com"
,LucidPlus IT Solutions,"Ground Floor,'Sougandhikam',Infopark Thrissur,Nalukettu Road,Koratty - 680308www.lucidplus.com"
,Luure.ai LLP,"First Floor, Villa Sougandhikam Infopark Thrissur Nalukettu Road,  Koratty - 680308www.luure.ai"
,Macrosive Computer Solutions Pvt. Ltd.,"Thapasya Annexe , Infopark Campus , Kakkanad P.O, Kochi , Kerala ,India , 682042www.macrosive.com"
,Manjila & Singh Innotech Pvt.Ltd.(MASIT),"10G, Trans Asia Cyber ParkInfopark Phase 2, Kochi,India – 682303www.medalertsolutions.com"
,Manjila and Singh Innotech Pvt Ltd,"10G , TransAsia Cyber park, Infopark phase II , Kakanad- 682303www.medalertsolutions.com"
,Mantle Solutions Private Limited,"9th Floor,  Lulu Cyber Tower–2, Phase I, Infopark SEZ, Kochi – 682042https://mantlesolutions.in/"
,Mantra IT Solutions,"Room No. 20A, Infopark TBC, Jawaharlal Nehru International Stadium, Kaloor, Ernakulam, Kerala 682017mantraitsolutions.in"
,MapleTech Space Pvt Ltd,"3rd Floor Indeevaram, Infopark Thrissur, Koratty PO, Kerala - 680 308mapletechspace.com"
,MARLABS SOFTWARE,"1st Floor, A Wing Athulya Building Complex Infopark SEZ, Kusumagiri P.O. Kakkanad Kochi - 682 030 Ph: +91 (484) 6062885/886, +91 (484) 606288520 Email: contact@marlabs.com"
,Mashuptech,"Room No 17A, GROUND FLOOR, INFOPARK TBC, Jawaharlal Nehru International Stadium, Kaloor, Kochi, Kerala 682017mashuptech.in"
,McFadyen Digital,"2nd Floor, A Wing, Athulya, Infopark, Kakkanad, Infopark Kochi P.O.,Kochi, Kerala 682042www.mcfadyen.com"
,Medas Consultancy Services Pvt. Ltd,"#18A, Infopark TBC,JNI Stadium,Kaloor 682017.www.medasconserv.com"
,Media Systems India,"INFOPARK SEZ PHASE II CAMPUS,  BRAHMAPURAM P O, PUTHENCRUZ, KUNNATHUNADU  PIN: 682303www.msisoft.in"
,Merabt Technologies Private Limited,"120, INFOPARK TBC, JLN STADIUM, KALOOR, ERNAKULAMwww.merabt.com"
,MERP Systems Private Limited,"C1-12, Chaithanya Building, Infopark Cherthala, Pallipuram, Cherthala, Alappuzha-688541www.merpsystems.com"
,Millennium EBS Private Limited,"6D, Tower-1, Trans Asia Cyber Park, Infopark Phase 2 - 682303www.millenniumebs.com"
,Millennium InfoLogic,"1st Floor, Carnival Infopark Phase IIInfopark Campus, KakkanadKochi,Kerala, India - 682042www.millinfo.net"
,Mindcurv Technology Solutions Pvt. Ltd.,"#604,Tower - AWorld Trade Centre Kochi,Infopark SEZ(Phase I),Kakkanad, Cochin - 682042www.mindcurv.com"
,MindLabs Consultancy Services LLP,"Tower 1, 16th Floor, Office A-1, Trans Asia Cyber Park, Infopark Kochi Phase II, Brahmapuram P.O., Kochiwww.mindlabssolutions.com"
,Mindsoft Technologies India Pvt. Ltd,"2nd Floor,Carnival Infopark Phase I Kusumagiri Kakkanad Kochi - 682030www.mindsoftglobal.com"
,MITHRA IT SOLUTIONS,"Ground Floor, Carnival Infopark Phase 1 Infopark Kochi P.O. Kochi – 682042mithraitsolutions.com/"
,Mitsogo,"5th Floor, Jyothirmaya,  Infopark Phase 2,  Kochi, Kerala 682042, India Mail ID:  careers@mitsogo.comwww.mitsogo.com"
,Mitz (Miztech AI Minds Pvt Ltd),"SBC 3- 5, Third Floor, Thapasya Building, Infopark Phase 1, Kochi, India - 682 042www.mitz.ai"
,Mobile Strategic Technology (P) Ltd,"Second Floor, Lulu Cyber Park, Infopark, Cochinwww.mstcochin.com"
,Mozilor Technologies Pvt. Ltd.,"8H, Tower 2, Trans Asia Cyber Park Infopark SEZ Phase II, Kakkanad, Kochi, Kerala, India – 682030www.mozilor.com"
,MWT Technologies Private Ltd,"13E, Tower II, Transasia CyberPark, Infopark Phase II, Ernakulam, Kerala 682042www.mwttech.com"
,NAS Infosolutions Pvt Ltd,"1st Floor Mandaram,Infopark Thrissur,Koratty – 680308Kerala – Indiawww.nasinfosolutions.com"
,NDimensionZ Solutions Pvt.Ltd.,"Ground Floor, Carnival Infopark Phase 1 Infopark Kochi P.O., Kochi – 682042www.ndimensionz.com"
,Neem Info Solutions Pvt. Ltd.,"Door No. 109,Infopark TBCJNI StadiumKaloor, Kochi - 682017www.neemsoftware.com"
,Nesote Technologies Pvt Ltd,"First Floor, Phase - IV,Carnival Infopark,Infopark, Kakkanad,Kochi - 682042Tel : +91 484 2987111www.nesote.com"
,Netsentries Infosec Solutions Pvt.Ltd.,"4th Floor, Wing – 2,  Jyothirmaya Building Infopark Kochi Phase II Brahmapuram P.O. Phase II Infopark  Kochi P.O, Kochi, 682042www.netsentries.com"
,Network Redux,"Unit 402, Fourth Floor, Tower B, World Trade Centre, Infopark Phase 1 SEZ, Infopark Kochi P.O., Kakkanad, Kochi – 682042www.redux.co"
,Neudesic Technologies Pvt Ltd,"Phase-1, Second Floor,Carnival Infopark Kakkanad, Cochin -682030 Telephone :- 04844204222www.neudesic.com"
,NewAgeSys Solutions (P) Ltd.,"7th Floor, Phase – II, Carnival Infopark, Infopark SEZ, Kakkanad, Kochi – 682042 0484-2983032 / 2983033www.newagesysindia.com"
,Next Apps,"#24, Infopark TBC,JNI Stadium, Kaloor,Cochin -17www.nextapps.in"
,NGA HR India Pvt Ltd  (An Alight Solutions Company),"Unit II A, Second Floor, Phase II, Carnival infoaprk, Kusumagiri, Kakkanad, Kochi - 682 030 Kerala, Indiawww.ngahr.com"
,Niaway Technologies Pvt Ltd,"BC3-4, Thapasya Building, Infopark Kochi, Kerala 682042 Indiawww.niaway.com"
,Nice Systems,"Cherthala Infopark, Chaithanya Building,1st Floor, A- Wing, Office No A1-15, Pallippuram,Thycattussery Road,Alappuzha, Pin – 688 541https://nicesystems.co.in/"
,Noa Infosolutions LLP,"502, 5th Floor, Tower 1 World Trade Centre Infopark Kochi Phase 1, Infopark Kochi P.O., Kochi – 682042 Tel: +91 484-4021299www.noainfosolutions.com"
,NOMD Technologies,"9A-2,Wing1,Ninth floor,Jyothirmaya,Infopark Phase IIwww.nomdindia.com"
,Nucleic Health Innovations Pvt Ltd,"First Floor, SBC-2,Thapasya Building,InfoPark, Kochi - 682042www.nucleichealth.com"
,Nuvento Systems Private Limited,"Trans Asia Cyber ParkInfopark Phase 2,Infopark SEZ, Phase II,Kochi-682303Tel: +91 484 4066070www.nuvento.com"
,Nymbl,Office # 10ETransasia Cyber ParkInfopark SEZ Phase – 2Ambalamedu P.OKochi - 682303www.benymbl.co
,Obidos Technologies (P) Ltd,"Office No: C1-10, C-Wing, First Floor,Chaitanya Building, Infopark,K.R.Puram P.O., Cherthala-688556Alappuzha, Kerala, INDIAwww.obidostech.com"
,Octotech Solutions,"First Floor, Sougandhikam Villa,  Nalukettu Road, Koratty  P O, Thrissur, Kerala, 680308www.octotechsolutions.in"
,Onesoft Technologies LLP,"Ground Floor Vismaya, Infopark Kakkanad, Kochi, Kerala 682042www.onesoftapps.com"
,Opshore Talent Solutions Pvt.Ltd.,"Carnival Infopark Phase-11, 1st Floor Infopark SEZ, Kakkanad, Kochi – 682042www.opshoretalentsolutions.com"
,Orestes Technologies Pvt Ltd,"First Floor, Carnival Infopark Phase 1, Infopark Kochi, Kakkanad, Kochi – 682042www.orestestech.com"
,Orion India Systems Pvt. Ltd.,"103, 1st Floor, Tejomaya,L & T Tech park, Info park SEZ,Kusumagiri – Po,Kakkanad, Kochi – 682030.India.www.orioninc.com"
,Ormeon IT Consulting Pvt Ltd,"#39/39 - InfoPark TBC,JNI Stadium ComplexKaloor , Kochi 682017https://ormeon.com"
,ORTHOFX PRIVATE LIMITED,"Floor 17, Trans Asia Cyber Park, Infopark Kochi Phase 2, Ambalamedu, Puthencruz, Ernakulam, Kerala, 682303www.orthofx.com"
,Outsource Partners International,"Leela Infopark, Kakkanad, Kochi 682030www.opiglobal.com"
,Overbrook Technology Services (P) Ltd,"1st Floor, Wing -2, Jyothirmaya IT Building Infopark Phase 2 Campus, Brahmapuram P.O., Kochi – 682303 Email  - info@ots.work Phone : 0484-2883801www.ots.work"
,Paradigm IT Private Limited,"12 C & 13 C-Tower 1,Trans Asia Cyber Park,Infopark Sez Phase-II,Ambalamedu (PO),Puthencruz, Kochi-682303.www.paradigm-structural.com"
,PaulCart E Commerce Pvt. Ltd.,"Room No 8,Infopark TBC,Kaloor,Kochiwww.wibserp.com"
,Pearlsoft Technologies LLP,"2A-3, Second Floor, A Wing, Athulya IT Building, Infopark Kochi Phase 1,  Infopark Kochi PO, Kakkanad, Kochi, Ernakulam, Kerala, 682042pearlsofttechnologies.com"
,Penguin Data Centre Pvt.Ltd.,"Unit no.206, 2nd Floor,  Brigade World Trade Centre, Infopark Kochi P.O.,  Kochi – 682042www.penguininc.com"
,Petrolink Data Services Pvt. Ltd.,"4th Floor, Lulu Cyber Tower | Kochi Infopark | Kochi - 682 042, Kerala | Indiawww.petrolink.com/"
,Phases India Technology Solutions Pvt Ltd,"Unit VIIA,7th Floor, Carnival Infopark Phase 3, Infopark Road, Kakkanad, Kochi, Kerala, India, 682042www.phases.io"
,Pinetech IT Solutions P Ltd,"Ground  Floor, Mandaram,  Infopark Thrissurwww.pinetech.in/"
,Pinmicro India Pvt.Ltd.,"18th Floor, 18A, Tower 1,Trans Asia Cyber ParkInfopark Phase 2,Kochi – 682303pinmicro.com"
,PiServe Solutions Pvt Ltd,"12th Floor, Part C, Trans Asia Cyber Park, Infopark Kochi Phase II, Amabalamedu P O, Puthencruz, Ernakulam -682303www.piserve.com"
,Planet Media India ( PMIN Agency Pvt.Ltd.),"5D,  Tower 1,Trans Asia Cyber ParkInfopark Kochi Phase 2Brahmapuram P.O.,Kochi – 682303www.planetmedia.com.au"
,Policy4us IWA Pvt Ltd,"Chembakam Villa, Infopark Thrissur, Nalukettu Road, Koratty, Kerala -680 308Telephone 04802 99 22 88www.insurancepolicy4us.com"
,Portrave Solutions Pvt Ltd,"GA-1, Wing A, Ground Floor, Athulya SEZ, Infopark Kochi PO, Kochi - 682042www.portrave.com"
,Prevalent AI,"11C, TransAsia Cyber park, Info park Phase II, Brahmapuram P.O., Kochi, Kerala 682303prevalent.ai/"
,PrimeCrown Technologies (P) Limited,"PrimeCrown Technologies Private Limited, Jyothirmaya Building, Sixth Floor, 6A-4, Infopark Phase II, Kochi - 682303www.primecrown.com"
,Progno Financial Planning Systems (P) Ltd,2nd Floor Thapasya Building  InfoPark   Kakkanad Cochin 682042www.prognoadvisor.com/
,Pueblo Shades Pvt.Ltd,"Infopark TBC, JNI Stadium, Kaloor, Ernakulam, Kerala 682018www.puebloshades.com"
,Pumex InfoTech Pvt Ltd,"10-A1, Trans Asia Cyber Park, Infopark Phase 2, Kakkanad, Kochi,  Kerala- 682303www.pumexinfotech.com"
,QAPTIVE TECHNOLOGIES PVT. LTD,"6th A, Jyothirmaya Building,  Infopark Phase-2,  Kochi,  Kerala,  INDIA - 682303www.qaptive.co.in"
,QBurst Technologies,"204, Tejomaya,  L&T Tech Park, Infopark,  Kochi 682030www.qburst.com"
,QC Verify Private Limited,"QC VERIFY Private Limited,15G , Tower 2, Trans Asia Cyber Park,Infopark SEZ Phase –II - 682303www.qcverify.com"
,Qubeslab Technologies Private Limited,"7G, Trans Asia Cyber Park, Infopark Phase 2, Kakkanad, Kochi - 682303, Kerala, India.qubeslab.com"
,Quest Global Engineering Services Pvt Ltd,"9th floor, Office no 1, Wing-B, Jyothirmaya Building, Infopark Kochi, Kakkanad Road, Puthencruz, Ernakulam, Kerala, 682303www.quest-global.com/"
,Rainybits Technology Pvt Ltd,"4D, TransAsia Cyber Park  Infopark Phase II, Kochiwww.rainybits.com"
,RCG Global Services (India) Pvt. Ltd.,"UNIT III A, 3rd Floor, Carnival Phase 4, Infopark, Kakkanad , Kochi - 682042 Phone : +91 484 4035300 , +91 484 4055774www.rcgglobalservices.com"
,Regent Global Services (India) Pvt.Ltd.,"3rd Floor, Wing I # 2, Jyothirmaya, Infopark Phase II, Brahmapuram P.O., Kochi, Kerala 682303 Phone: 0484 2982150www.rgsin.com"
,REXAV LLP,"3D, Trans Asia Cyber ParkInfopark Phase 2Kakkanad, KochiKerala 682303Ph: +91 7994480220Mail: info@rexav.inwww.rexavllp.com"
,Ridgecone Technologies Pvt Ltd,Ground Floor| 'Chaithanya' IT Block| |Infopark| Cherthala| Pallippuram| KR Puram P.O| Alappuzha – 688 556 Phone: 0478 2554400 | +91 98478 10999 www.ridgecone.com| info@ridgecone.comwww.ridgecone.com
,Roberts Design Services,"Office 1A7, Level-1 , Wing A , Indeevaram, Info park Koratty, Kerala, India – 680308www.rdsind.co"
,ROGERSOFT Technologies Pvt Ltd,"ROGERSOFT, GF1 H, Phase 1,Carnival Infopark,Cochin, Kerala,Indiawww.rogersofttechnologies.com"
,RUBY SEVEN STUDIOS,"5th Floor,Phase III,Carnival Infopark Kakkanad,Kochi, India PIN 682042 +91 484 4059440www.rubyseven.com"
,SaNDS Lab,"""Chandanam"",Infopark Thrissur Nalukettu Road,Koratty - 680308www.sandslab.com"
,SayOne Technologies Pvt.Ltd.,"Unit No.503, 5th Floor World Trade Centre, Infopark Kochi P.O., Kochi – 682042 phone: 0484-4037171www.sayonetech.com"
,SBL Knowledge Services ltd,"3rd Floor, Carnival Infopark - Phase- lV Cochin, India - 682042  Contact: 8590233999www.sblcorp.com"
,Seeroo IT Solutions,"Ground Floor, Vismaya Building, Infopark Kochi Phase 1, Cochin-682 042www.seeroo.com"
,Seguro Technologies,"Seguro Innovative Tech Solutions Pvt Ltd39/09, Infopark TBCJNI Stadium ComplexKaloor, Kochi-682017Kerala, Indiawww.segurotechnologies.com"
,SEIDOR Opentrends,"Ground FloorIndeevaramInfopark Thrissur CampusNalukettu Road, KorattyThrissur - 608308Kerala, India.www.opentrends.net"
,Senscript Technologies Pvt Ltd,"1st floor, Carnival Infopark Phase-1, Infopark, Kakkanad P.I, Kochi, PIN-682042www.senscript.ai"
,Sensedge Technologies,"First Floor,  Carnival Infopark Phase II Infopark Kochi P.O.,  Kochi – 682042www.sensedgetech.com"
,Servsys Technology Services India Pvt Ltd,"Office No. 2, Wing1, 2nd Floor, Jyothirmaya Bldg, Infopark Phase II, Kakkanad, Kochi. Pin: 682303Mobile:  +91 89 4386 4386, +91 80 8638 8637 Email: career@servsys.comwww.servsys.com"
,Silverbloom Technologies,"1st floor,'Mandaram' Infopark Thrissur Nalukettu Road Koratty-680308www.silverbloom.com"
,Silverlink Technologies Pvt.Ltd,"Ground Floor, ITB, Infopark Pallippuram, Cherthala Ph:04782552211"
,Simelabs Pvt Ltd,"Unit No 305 & 306, Tower A, World Trade Centre, Infopark Phase 1 SEZ, Kochiwww.simelabs.com"
,SMEC AUTOMATION PVT LTD,"Athulya, Ground floor, Infopark Campus, Kochismectechnologies.com"
,Softspace Infotech Pvt Ltd,"17 B, Infopark TBC, JNI Stadium, Kaloor, Kochiwww.softspace.ae"
,SparkSupport Infotech Pvt Ltd,"3rd Floor, Carnival Infopark, Phase II Kochi-30     www.sparkmycloud.comwww.sparksupport.com"
,Spawoz Technologies Pvt. Ltd.,"Ground Floor, Vismaya Building, Infopark Kochi Campus,  Kakkanad, Cochin, Kerala, India - 682 042 Tel:+91 (0) 484 4030911www.spawoz.com"
,Speridian Technologies Pvt Ltd,"Phase IV, Carnival Infopark,  Kakkanad, Cochin – 682 042 Ph: (91) 484 401 7951www.speridian.com"
,Spiderline Technologies,"#2, Ground Floor, Infopark TBC, JNI Stadium, Kaloor, Cochin, Kerala, India. Pin 682017www.spiderline.in"
,Squad Technologies Pvt. Ltd.,"Sougandhikam, Infopark Thrissur, Koratty - 680308www.squadtechnologies.com"
,Sreyas IT Solutions Pvt Ltd,"#39-21, Infopark TBC,Kochin- 682017sreyas.com"
,STEIGEND IT SOLUTIONS,"INFOPARK TBC,JNI STADIUM, KALOORKOCHI - 682017https://steigendit.com/"
,Stepping Stone Consultancy Services,"Athulya Building, Infopark, Kakkanad, Kochi - 682042www.steppingstoneconsultancy.com"
,Strands Energy Pvt. Ltd,"2A-6; ""Indeevaram"",  2nd Floor - A Wing Infopark Thrissur, Koratty P.O., Kerala – 680 308www.strandsenergy.com"
,Stream Perfect Global Services (SPGS),"First Floor, Wing 2, Jyothirmaya, Infopark Phase II, Brahmapuram P.O, Kochi – 682303www.stream-perfect.com"
,SupportHub360,"#3, Floor XIII, Tower 2, Trans Asia Cyber Park, Infopark Kochi Phase 2, Brahmapuram PO, Kochi- 682303www.supporthub360.com.au"
,SurveySparrow Pvt Ltd,"Jyothirmaya, Infopark, Jyothirmaya Rd, Infopark Phase 2, Kakkanad, Kerala - 682030www.surveysparrow.com"
,Suyati Technologies Private Limited,"3rd Floor, Lulu Cyber Tower 1.Infopark SEZ, Kakkanad,Kochi, Kerala 682030www.suyati.com"
,SysInterface Software Solutions.Pvt.Ltd,"Unit I G, First Floor, Phase II,  Leela Infopark (SEZ),  Kusumagiri P.O, Kakkanad,  Kochi – 682 030www.sysinterface.com"
,SysTalent Software Private Limited,"III Floor, â€œThapasyaâ€ Building, Infopark,Kakkanad,  Kochi – 682 030www.systalent.com"
,Talk Digital Pvt. Ltd.,"Talk Digital Pvt. Ltd., First Floor, Thapasya Building, Infopark.www.talkdigital.com.au"
,Tamcherry Technologies Private Limited,"Unit No.G B, Ground Floor, Phase II, Carnival Infopark, Kakkanad, Kochi- 682042www.tamcherry.com"
,"Tata Consultancy Services,","Tata Consultancy Services TCS Centre SEZ Unit, Infopark PO, Kochi - 682042,Kerala Indiawww.tcs.com"
,Team Moplet Pvt Ltd,"Office No 37, Infopark TBCJawaharlal Nehru StadiumKaloor, Kochi, Kerala 682017www.moplet.com"
,Tech Aventure,"A0-10, Infopark Cherthala SEZ, K.R Puram P.O, Pallipuram, Cherthala, Alappuzha  Pin: 688541 ph: 0478 2815657; Email: info@techaventure.comwww.techaventure.com"
,Techanise Solutions Pvt. Ltd.,"26A, Sector E, Ground Floor, Infopark TBC, Kaloor, Kochi - 682 017, Indiawww.techanise.com"
,Techcloud Development Solutions Pvt.Ltd.,"Ground Floor, Phase - 1 Carnival Infopark Kakkanad - 682042www.techcloud.global/"
,Techfriar Technologies,"207, Second Floor, Block A, World Trade Center, Infopark Phase I, Infopark P.O., Kochi, Kerala - 682042www.techfriar.com"
,Techgentsia Software Technologies Private Limited,"#1 Ground Floor , ""Chaithanya"" , Infopark Campus  K R Puram P O., Cherthala - 688541   Phone : +91 478 255 2180 www.techgentsia.com"
,TechNeurons Consulting Solutions Private Limited,"15C, Tower 1, Trans Asia Cyber Park Infopark Kochi Phase 2, Brahmapuram P.O., Ernakulam – 682303www.techneurons.com"
,TECHNOWAY SOFTWARE SOLUTIONS PVT.LTD.,"Ground Floor, Carnival II , Infopark Kakkanad, Cochin-682042, Kerala, INDIAwww.technowavegroup.com"
,Techpullers Technology Solutions Pvt Ltd.,"10C, Trans Asia Cyber Park Infopark SEZ,Phase IItechpullers.com"
,TechTaliya Informatics Pvt. Ltd.,"Ground Floor,Thapasya Building,Infopark, Kakkanad,Kochi, Kerala - 682 042techtaliya.com"
,Techversant Infotech Pvt Ltd,"First Floor, Lulu Cyber Park,Infopark, Kakkanad Kochi – 682030www.techversantinfotech.com"
,Techware Lab Pvt.Ltd.,"Tower 1, 8th FloorTrans Asia Cyber Park,Infopark Phase 2,Ambalamedu  P.O.,Kochi, Kerala - IN - 682303www.techwarelab.com"
,Techxora Private Limited,"Chandanam Block, Infopark, Thrissur - 680308 Tel : +91 487 2970725 / +91 8848245755 Email : contact@techxora.comwww.techxora.com"
,Teraobjects India Private Limited,"2B-3 Wing 2, second floor Jyothirmaya building, Infopark Kochi Phase 2, SEZteraobjects.com"
,Terrific Minds Private Limited,"Floor 7, Tower 2, Trans Asia Cyber Park, Infopark Phase 2,Infopark SEZ, Kochi,Ernakulam, Kerala, 682303www.terrificminds.com"
,Tertiary Care Private Limited,"#38 – Infopark TBC, JNI Stadium Complex, Kaloor, Cochin. 682017www.drtop.in"
,TESTING MAVENS SOFTWARE PVT.LTD,"Unit 9B, 9th Floor, Carnival Infopark Phase IV, Kakkanad, Ernakulam, Kerala – 682042www.testingmavens.com/"
,The Amsive Solutions,"Ground Floor,Chembakam Villa,Infopark - Koratttytheamsive.com"
,Thinkpalm Technologies Pvt.Ltd,"1st Floor, 'Athulya' Infopark Kakkanad, Kochi - 682 030www.thinkpalm.com"
,Thomsun Infocare LLP,"16B, Trans Asia Cyber ParkInfopark Kochi Phase 2Brahmapuram P.O.,Kochi – 682303www.thomsuninfocare.com"
,Titan Tech Emirates Pvt Ltd,"Thapasya Building,First floor, Thapasya Rd,Infopark Campus, Infopark,Kochi, Kerala 682030titantechemirates.com"
,Toobler Technologies Pvt. Ltd.,"​1st Floor,Lulu Cyber Tower 1 , Infopark,Kakkanad,Kochi  682042 ,Kerala , Indiawww.toobler.com"
,TouchWorld Technology,"2nd Floor, Thapasya Building, Phase-1, Infopark, Kakkanad, Kochi.www.touchworldtech.com"
,Tranzmeo IT Solutions Private Limited,"4th floor - Jyothirmaya, Infopark Phase-II Kochi – 682303www.tranzmeo.com"
,Travancore Analytics Pvt.Ltd.,"2nd Floor, Athulya Building, Infopark Phase 1 Campus Infopark Kochi P.O., Kochi – 682042www.travancoreanalytics.com"
,TutorComp Infotech (I) Pvt.Ltd,"Second Floor, Park Office Athulya Building, Infopark SEZ, Kakkanad, Kerala- 682042www.tutorcomp.com"
,TUTTIFRUTTI INTERACTIVE,"Office No: 6,  Wing-1, 4th Floor, Jyothirmaya Infopark Phase II, Brahmapuram P.O., Kochi - 682303www.tuttifrutti.in/"
,TWBS Software Development Center P.Ltd,"B1, SBC-1, Thapasya Building, Infopark Kochi, Kakkanad-682042twbs.com/"
,Urolime Technologies Private Limited,"Office No.6A-2, Wing - 1, Sixth Floor, Jyothirmaya Building, Infopark Phase ll, Kakkanad, Kochi-682030www.urolime.com"
,US Technology International Pvt Ltd,"1st Floor, Vismaya BuildingKusumagiri POKakkanad, Kochi – 30www.ust.com"
,Vaisesika Consulting Private Limited,"2nd Floor, Athulya Annexe Block, Infopark Special Economic Zone ,Kakkanad, Ernakulam, Kerala, 682042, 04844045106vaisesikaconsulting.com/"
,Valoriz Digital Pvt. Ltd.,"3rd Floor, Thapasya Building, Infopark Kochi Phase 1, Infopark Kochi PO, Kakkanad 682 042www.valoriz.com"
,ValueMentor Infosec Pvt. Ltd.,"'Indeevaram', Infopark Thrissur, Koratty, Thrissur Kerala, India – 680308  Ph : +91 -  487 -  2970 700www.valuementor.com"
,Vanilla Networks Pvt Ltd.,"Carnival Infopark 1st  Phase, 2nd Floor Infopark campus  Kakkanad, Cochin.www.vanillanetworks.co.in"
,Veeble SoftTech (P) Ltd.,"16A, Infopark TBC, Sector E,JNI Stadium, Kaloor,Ernakulam 682017www.veeble.com"
,"Verteil Technologies Private Limited,","3rd Floor,Thapasya IT Building,Infopark Phase-I,Infopark, Kakkanad,Kochi - 682042www.verteil.com"
,Viewy Digital P(Ltd),"Infopark TBCJNI StadiumKaloor, CochinKerala, PO Box 682017www.viewydigital.com"
,Vinokha Tek Pvt Ltd,"A5, SBC 1,2nd Floor,Thapasya,Infopark,Kakkanad,Kochi,Kerala – 682042www.vinokhatek.com"
,VIPoint Solutions Pvt Ltd,"VIPoint Solutions Pvt Ltd Unit 1G,Carnival Infopark 2 Infopark, Kakkanad Cochin - 682030www.vipointsolutions.net"
,Virtual Impulse Technologies,"30A, VIMPETCH, Infopark TBC, JNI Stadium Complex, Kaloor, Kochi, Kerala 682017www.vimptech.com"
,Vortexen Dynamics,ROOM NO.07 INFOPARK TBC KALOORwww.vortexen.com
,Voxtron Solutions LLP,"Office no: 9A-6, Ninth Floor, Wing – 1, Jyothirmaya, Infopark Kochi Phase 2www.voxtronme.com"
,Voyager IT Solutions Pvt Ltd,"A1-3 & 4, Infopark SEZ K.R Puram P.O.,  Pallippuram, Cherthala  Tel: +91 478 2553310 Fax: +91 478 2553311 Email: info@itvoyager.comwww.itvoyager.com"
,Voyon Technology Pvt Ltd,"SBC-3-6, Third Floor, Thapasya, Infopark Kochi PO, Kochi - 682042www.voyonfolks.com"
,VST Travel Solutions Pvt. Ltd,"A1-08, Infopark Smart Space, Cherthala, Pallipuram P O, Pin: 688541 Ph: 0478 2552455www.vehiclest.com"
,Vtrio Solutions Private Limited,"2nd Floor, ""Athulya - Annexe Infopark Kochi Kakkanad, Kochi – 682 042 Ph:0484-4019709Recruitment Enquiry - 7510270195www.vtrio.com"
,VVDN Technologies Pvt Ltd,"1st, 2nd, 3rd Floor, Cloudscapes Sunya EK Cyber Park Private Limited, Infopark SEZ, Infopark Kochi Phase 2, Brahmapuram PO, Kunnathunadu, Ernakulam, Kerala, 682303www.vvdntech.com"
,Wazeefa1 Technologies Pvt. Ltd.,"1st  Floor, Rajamalli Building, Infopark Thrissur, Nalukettu Road,  Koratty (P.O.), Thrissur - 680308.www.wazeefa.in"
,Webandcrafts,"Infopark, Koratty P.O, Thrissur, Kerala - 680308 Tel: +91 480 2733999 Email: info@webandcrafts.comwww.webandcrafts.com"
,Webdura Technologies,"Ground Floor, Vismaya, Infopark Kochi P.O.,  Kochi - 682042www.webduratech.com"
,White Rabbit Group,"15th Floor, Trans Asia Cyber Park,  Infopark Phase 2, Kochi 682303www.whiterabbit.group"
,Windfall Productions Pvt.Ltd.,"Windfall Productions Pvt Ltd,Second Floor,Indeevaram Bulding , Infopark Thrissur Campus,Nalukettu Road, Koratty – 680308Mob: 9072312681 : E-mail : admin@windfallProductions.orgMajor Client :  www.shalomworld.orghttps://www.windfallproductions.org/"
,Wipro Infotech,"Wippro Campus Infopark,Kakkanad, Kochi 682030"
,Wipro Limited,"Infopark Kusumagiri – PO, Kakkanad Cochin – 682030  Phone: 0484-4320685www.wipro.com"
,Wipro Technologies,"Wipro Campus Infopark,Kakkanad, Kochi 682030www.wipro.com"
,WOC Branding Systems Pvt Ltd,"#18C2, Infopark TBC - Kaloorwww.wocbranding.com"
,WORKSENT TECHNOLOGIES PVT LTD (formerly EYNETECH),Level 17 | Trans Asia Cyber Park | Infopark Phase II | Kochi | India 682303Ph: 79941677773 / 7994917773 / 7994417773www.worksent.com
,Woxro,"Infopark, Koratty P.O, Thrissur, Kerala - 680308 Tel: +91 480 2081730 Email: hello@woxro.comwww.woxro.com"
,Yatnam Technologies,"7B3, 7th Floor, Jyothirmaya, Infopark Phase 2, Ernakulam - 682303 India.www.yatnam.com"
,Yatra Online,"Thapasya Building, Infopark, Kakkanad, Kochitech.yatra.com/"
,Yavun Technologies,"C1-04, Chaithanya IT Building, Infopark Cherthala, Alappuzha, Kerala Pin:688556www.yavun.com"
,Yellowfish Digital Innovations Pvt Ltd.,"SBC-1,Second Floor, Thapasya,Infopark Kochi,Kerala, India-682 030www.yellowfish.in"
,Ynot Infosolutions,"1st Floor, Asokam Building,Infopark. Nalukettu Road,Koratty P. O, Thrissur,Kerala. India 680308.www.ynotinfo.com"
